Subpopulation,Indicator,NResp,Value,Estimate.P,LCB95Pct.P,UCB95Pct.P
Virginia,VSCIAll,247,59.42,43.69142525,39.24657574,48.13627475
Virginia,VSCIAll,248,59.53799676,43.71898067,39.27398249,48.16397885
Virginia,VSCIAll,249,59.61277,43.80923968,39.3612129,48.25726647
Virginia,VSCIAll,250,59.62179565,43.86596644,39.41734498,48.31458791
Virginia,VSCIAll,251,59.65,44.39167949,39.92935056,48.85400842
Virginia,VSCIAll,252,59.66,44.48193851,40.01444165,48.94943536
Virginia,VSCIAll,253,59.66788493,44.60405722,40.13686147,49.07125298
Virginia,VSCIAll,254,59.77037697,44.62296614,40.1557138,49.09021849
Virginia,VSCIAll,255,59.89132007,44.74508486,40.28325601,49.20691371
Virginia,VSCIAll,256,59.89220797,44.77264028,40.31086922,49.23441135
Virginia,VSCIAll,257,59.90618474,44.894759,40.43459266,49.35492535
Virginia,VSCIAll,258,59.9630165,45.42047205,40.99563574,49.84530836
Virginia,VSCIAll,259,60.03,45.54259077,41.13119692,49.95398461
Virginia,VSCIAll,260,60.03367761,45.66470949,41.2569723,50.07244667
Virginia,VSCIAll,261,60.06,46.19042253,41.77832673,50.60251833
Virginia,VSCIAll,262,60.10011484,46.28068155,41.87211988,50.68924321
Virginia,VSCIAll,263,60.135,46.33740831,41.92933799,50.74547862
Virginia,VSCIAll,264,60.175,46.42766732,42.01866259,50.83667206
Virginia,VSCIAll,265,60.29,46.51792634,42.10703507,50.92881761
Virginia,VSCIAll,266,60.34986989,46.64004505,42.23048741,51.0496027
Virginia,VSCIAll,267,60.3519858,46.76216377,42.35357417,51.17075338
Virginia,VSCIAll,268,60.385,46.81889053,42.41374047,51.22404059
Virginia,VSCIAll,269,60.45616217,46.90914955,42.50451912,51.31377997
Virginia,VSCIAll,270,60.52347077,47.03126826,42.62823206,51.43430447
Virginia,VSCIAll,271,60.63093459,47.08799502,42.68327887,51.49271117
Virginia,VSCIAll,272,60.68537192,47.11555045,42.71066061,51.52044029
Virginia,VSCIAll,273,60.73,47.20580946,42.8019365,51.60968242
Virginia,VSCIAll,274,60.8,47.29606848,42.89334801,51.69878894
Virginia,VSCIAll,275,60.86,47.3236239,42.92050361,51.72674419
Virginia,VSCIAll,276,60.91421671,47.34253282,42.93937309,51.74569255
Virginia,VSCIAll,277,60.96547596,47.43279183,43.03058089,51.83500278
Virginia,VSCIAll,278,61.00752552,47.55491055,43.15335437,51.95646674
Virginia,VSCIAll,279,61.02,47.67702927,43.27936858,52.07468996
Virginia,VSCIAll,280,61.02165386,47.73375603,43.33374986,52.1337622
Virginia,VSCIAll,281,61.06259701,47.85587475,43.45587431,52.25587519
Virginia,VSCIAll,282,61.075,47.94613376,43.55051032,52.3417572
